,title,sponsers,texts
7113,Taxpayers Right-To-Know Act,"[Sen. Coburn, Tom [R-OK], Sen. Ayotte, Kelly [R-NH], Sen. Begich, Mark [D-AK], Sen. Burr, Richard [R-NC], Sen. Chambliss, Saxby [R-GA], Sen. Collins, Susan M. [R-ME], Sen. Cruz, Ted [R-TX], Sen. Enzi, Michael B. [R-WY], Sen. Flake, Jeff [R-AZ], Sen. Hatch, Orrin G. [R-UT], Sen. Inhofe, James M. [R-OK], Sen. Johnson, Ron [R-WI], Sen. McCain, John [R-AZ], Sen. McCaskill, Claire [D-MO], Sen. Paul, Rand [R-KY], Sen. Portman, Rob [R-OH], Sen. Risch, James E. [R-ID], Sen. Scott, Tim [R-SC], Sen. Vitter, David [R-LA], Sen. Warner, Mark R. [D-VA], Sen. Manchin, Joe, III [D-WV], Sen. Alexander, Lamar [R-TN], Sen. Boozman, John [R-AR], Sen. Blunt, Roy [R-MO], Sen. Coats, Daniel [R-IN], Sen. Cochran, Thad [R-MS], Sen. Cornyn, John [R-TX], Sen. Crapo, Mike [R-ID], Sen. Grassley, Chuck [R-IA], Sen. Lee, Mike [R-UT], Sen. McConnell, Mitch [R-KY], Sen. Roberts, Pat [R-KS], Sen. Rubio, Marco [R-FL], Sen. Sessions, Jeff [R-AL], Sen. Thune, John [R-SD], Sen. Toomey, Pat [R-PA], Sen. Wicker, Roger F. [R-MS], Sen. King, Angus S. Jr. [I-ME], Sen. Heller, Dean [R-NV]]",Amends the Statutory Pay-As-You-Go Act of 2010 to require the Comptroller General (GAO) to maintain and provide regular annual updates to a publicly available website that tracks the status of agency responses to recommendations by the Comptroller General for identifying duplicative government programs. 
7114,Bond Transparency Act of 2014,"[None, Sen. Warner, Mark R. [D-VA]]","Requires a broker or dealer, at or before completion of the transaction, to make a markup disclosure in writing to the customer of the difference between either: (1) the customer's purchase price and the broker or dealer's purchase price; or (2) the customer's sale price and the broker or dealer's sale price."
7115,American Cures Act,"[Sen. Durbin, Richard [D-IL], Sen. Reed, Jack [D-RI], Sen. Hirono, Mazie K. [D-HI], Sen. Brown, Sherrod [D-OH], Sen. Feinstein, Dianne [D-CA], Sen. Markey, Edward J. [D-MA], Sen. Casey, Robert P., Jr. [D-PA], Sen. Cardin, Benjamin L. [D-MD], Sen. Boxer, Barbara [D-CA], Sen. Hagan, Kay [D-NC], Sen. Mikulski, Barbara A. [D-MD], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Klobuchar, Amy [D-MN], Sen. Whitehouse, Sheldon [D-RI], Sen. Schumer, Charles E. [D-NY]]","Requires amounts to be transferred from the Fund for each fiscal year to accounts related to the National Institutes of Health (NIH), the Centers for Disease Control and Prevention (CDC), the Department of Defense (DOD) health program, and the medical and prosthetics research program of the Department of Veterans Affairs (VA) to ensure that funding for such programs and agencies does not fall below 105% of the level of funding provided for the preceding fiscal year and an additional amount to account for any increases in the Gross Domestic Product for the year involved."
7116,Native American Seeds Protection Act of 2014,"[None, Sen. Heinrich, Martin [D-NM]]",Requires grant applicants to certify that any research conducted will be performed under a cooperative agreement with at least one other entity that has the capacity and infrastructure necessary to carry out agricultural research projects.
7117,Smart Savings Act,"[Sen. Warren, Elizabeth [D-MA], Sen. Portman, Rob [R-OH], Sen. Begich, Mark [D-AK], Sen. Enzi, Michael B. [R-WY], Sen. Tester, Jon [D-MT], None, Sen. Warren, Elizabeth [D-MA]]","Smart Savings Act - Makes the default investment in the Thrift Savings Plan (TSP) an age-appropriate target date asset allocation portfolio (L Fund), instead of the Government Securities Investment Fund (G Fund), if no election has been made for the investment of available funds. Retains the Government Securities Investment Fund as the default fund for members of the uniformed services. Requires TSP participants whose default fund is an age-appropriate L Fund to sign a risk acknowledgement before beginning TSP contributions. "
7118,ENFORCE the Law Act of 2014,"[Sen. Scott, Tim [R-SC], Sen. Moran, Jerry [R-KS], Sen. Paul, Rand [R-KY], Sen. Thune, John [R-SD], Sen. Vitter, David [R-LA], Sen. Murkowski, Lisa [R-AK], Sen. Kirk, Mark Steven [R-IL], Sen. Crapo, Mike [R-ID], Sen. Barrasso, John [R-WY], Sen. Johanns, Mike [R-NE], Sen. Coburn, Tom [R-OK], Sen. Wicker, Roger F. [R-MS], Sen. Coats, Daniel [R-IN], Sen. Cochran, Thad [R-MS], Sen. Grassley, Chuck [R-IA], Sen. Alexander, Lamar [R-TN], Sen. Ayotte, Kelly [R-NH], Sen. Graham, Lindsey [R-SC], Sen. Hatch, Orrin G. [R-UT], Sen. Boozman, John [R-AR], Sen. Enzi, Michael B. [R-WY], Sen. Fischer, Deb [R-NE], Sen. Isakson, Johnny [R-GA], Sen. Roberts, Pat [R-KS], Sen. Risch, James E. [R-ID], Sen. Hoeven, John [R-ND], Sen. Inhofe, James M. [R-OK], Sen. Johnson, Ron [R-WI], None, Sen. Blunt, Roy [R-MO]]",Grants jurisdiction to a three-judge panel of a U.S. district court to hear such civil action and provides for an expedited direct appeal to the U.S. Supreme Court.
7119,Head Start Improvement Act of 2014,"[Sen. Lee, Mike [R-UT]]"," Directs the Secretary of Health and Human Services (HHS) to allot block grants for prekindergarten programs to states, the District of Columbia, U.S. territories, the Republic of Palau, and each federally recognized Indian tribe on the basis of each jurisdiction's share of children aged five and younger who are from families with incomes below 130% of the poverty level."
7120,"A bill to expand the prohibition on the manufacture, distribution, and importation of children's products that contain phthalates, and for other purposes.","[Sen. Gillibrand, Kirsten E. [D-NY]]","Declares that such prohibition shall not apply to any component of a children's product (currently, only of a children's toy or child care article) that is not accessible to a child through normal and reasonably foreseeable use and abuse of that product."
7121,A bill to repeal title II of the REAL ID Act of 2005.,"[Sen. Tester, Jon [D-MT], Sen. Murkowski, Lisa [R-AK], None, Sen. Walsh, John E. [D-MT]]",NA
7122,Responsible Medicare SGR Repeal and Beneficiary Access Improvement Act of 2014,"[Sen. Hatch, Orrin G. [R-UT], Sen. McConnell, Mitch [R-KY], Sen. Cornyn, John [R-TX], Sen. Enzi, Michael B. [R-WY], Sen. Alexander, Lamar [R-TN], Sen. Isakson, Johnny [R-GA], Sen. Wicker, Roger F. [R-MS], Sen. Inhofe, James M. [R-OK], Sen. Sessions, Jeff [R-AL], Sen. Johanns, Mike [R-NE]]","Directs the Medicare Payment Advisory Commission (MEDPAC) to report to Congress on the relationship between: (1) physician and other health professional utilization and expenditures (and their rate of increase) of items and services for which Medicare payment is made; and (2) total utilization and expenditures (and their rate of increase) under Medicare parts A (Hospital Insurance), B (Supplementary Medical Insurance), and D (Voluntary Prescription Drug Benefit Program). Requires a separate report on the 2014-2018 update to physicians' services under Medicare "
7123,School District 318 Land Exchange Act,"[Sen. Franken, Al [D-MN], Sen. Klobuchar, Amy [D-MN]]",NA
7124,"Support for the Sovereignty, Integrity, Democracy, and Economic Stability of Ukraine Act of 2014","[Sen. Menendez, Robert [D-NJ], None, Sen. Johnson, Ron [R-WI], None, Sen. Vitter, David [R-LA], None, Sen. Thune, John [R-SD], None, Sen. Thune, John [R-SD], None, Sen. Thune, John [R-SD], None, Sen. Risch, James E. [R-ID], None, Sen. Risch, James E. [R-ID], None, Sen. Risch, James E. [R-ID], None, Sen. Cornyn, John [R-TX], None, Sen. Vitter, David [R-LA], None, Sen. Johnson, Ron [R-WI], None, Sen. Portman, Rob [R-OH], None, Sen. Udall, Mark [D-CO], None, Sen. Inhofe, James M. [R-OK], None, Sen. Coats, Daniel [R-IN], None, Sen. Barrasso, John [R-WY]]","States that such amounts shall not be considered ""assistance"" for the purposes of law limiting assistance to Ukraine."
7125,Public Safety and Economic Security Communications Act of 2014,"[Sen. Harkin, Tom [D-IA], Sen. Sanders, Bernard [I-VT], Sen. Boxer, Barbara [D-CA], Sen. Tester, Jon [D-MT], Sen. Baldwin, Tammy [D-WI], Sen. Merkley, Jeff [D-OR], Sen. Wyden, Ron [D-OR], Sen. Franken, Al [D-MN], Sen. Walsh, John E. [D-MT], Sen. Pryor, Mark L. [D-AR], None, Sen. Johnson, Tim [D-SD]]","Defines ""intermediate provider"" as any entity that: (1) carries or processes traffic that is generated from the placement of a call from a connection using a North American Numbering Plan resource or a call placed to a connection using such a numbering resource, and (2) does not itself originate or terminate such traffic in the context of the carriage or processing. "
7126,Regenerative Medicine Promotion Act of 2014,"[Sen. Landrieu, Mary L. [D-LA], Sen. Baldwin, Tammy [D-WI], Sen. Booker, Cory A. [D-NJ], Sen. Casey, Robert P., Jr. [D-PA], None, Sen. Boxer, Barbara [D-CA]]","Directs the Secretary of Health and Human Services (HHS) to establish a Regenerative Medicine Coordinating Council, which shall: "
7127,Inspector General Empowerment Act of 2014,"[Sen. Grassley, Chuck [R-IA], Sen. Murkowski, Lisa [R-AK], Sen. Coburn, Tom [R-OK], None, Sen. Lee, Mike [R-UT]]",NA
7128,"A bill to name the Department of Veterans Affairs medical center in Waco, Texas, as the ""Doris Miller Department of Veterans Affairs Medical Center"".","[None, Sen. Cornyn, John [R-TX]]",NA
7129,ATTAIN Act of 2014,"[Sen. Udall, Tom [D-NM]]","Tasks the Office with improvement of procurement, contracting, and partnership procedures for technology transfer."
7130,Winter Roads Safety Act of 2014,"[Sen. Klobuchar, Amy [D-MN], Sen. Franken, Al [D-MN]]","Defines the term ""covered logging vehicle"" to mean a vehicle that: (1) is transporting raw or unfinished forest products, including logs, pulpwood, biomass, or wood chips; (2) has a gross vehicle weight of no more than 99,000 pounds; (3) has at least six axles; (4) is operating on specified segments of Interstate Route 35 and Interstate Route 535 in Minnesota; and (5) has obtained the appropriate overweight vehicle permit from the Department."
7131,Coast Guard Arctic Preparedness Act,"[Sen. Begich, Mark [D-AK], Sen. Cantwell, Maria [D-WA]]",Amends the Coast Guard and Maritime Transportation Act of 2012 to direct the Secretary of the department in which the Coast Guard is operating to initiate a reactivation and an extention of the service life of the icebreaker Polar Sea for 7 to 10 years.
7132,"S. 2132, Indian Tribal Energy Development and Self-Determination Act Amendments of 2014","[Sen. Barrasso, John [R-WY], Sen. Hoeven, John [R-ND], Sen. McCain, John [R-AZ], Sen. Thune, John [R-SD], Sen. Enzi, Michael B. [R-WY], Sen. Murkowski, Lisa [R-AK], Sen. Moran, Jerry [R-KS], Sen. Walsh, John E. [D-MT], Sen. Tester, Jon [D-MT], Sen. Fischer, Deb [R-NE], Sen. Udall, Mark [D-CO]]",Makes intertribal organizations eligible for Department of Energy (DOE) Indian energy education planning and management assistance program grants. Allows such grants to be used to increase tribal capacity to manage energy development and efficiency programs.
7134,Act to Ban Zohydro,"[Sen. Manchin, Joe, III [D-WV]]",NA
7135,Tar Sands Tax Loophole Elimination Act,"[None, Sen. Markey, Edward J. [D-MA]]","Authorizes the Secretary of the Treasury to include as crude oil or as a petroleum product for excise tax purposes any fuel feedstock or finished fuel product customarily transported by pipeline, vessel, railcar, or tanker truck if: (1) the Secretary determines that the classification of such feedstock or fuel is consistent with the definition of oil under the Oil Pollution Act of 1990, and (2) such feedstock or fuel is produced in sufficient commercial quantities as to pose a significant risk of hazard in the event of a discharge."
7136,A bill to ensure that oil transported through the Keystone XL pipeline into the United States is used to reduce United States dependence on Middle Eastern oil.,"[Sen. Markey, Edward J. [D-MA]]","Authorizes the President to waive such requirement in the national interest under specified conditions, including where: (1) an exchange of crude oil or refined product provides for no net loss of crude oil or refined product consumed domestically; or (2) a waiver is necessary under the Constitution, a law, or an international agreement."
7137,A bill to ensure that holders of flood insurance policies under the National Flood Insurance Program do not receive premium refunds for coverage of second homes.,"[Sen. Lee, Mike [R-UT]]","Prohibits the Administrator of the Federal Emergency Management Agency (FEMA) from refunding any flood insurance premium collected in excess of mandatory rates cited in the Homeowner Flood Insurance Affordability Act of 2014, if the premium refund is for flood insurance coverage for a residential property that is not the primary residence of an individual. "
7138,Veterans Hiring Act,"[Sen. Shaheen, Jeanne [D-NH]]",NA
7139,"A bill to amend the Internal Revenue Code of 1986 to extend the exclusion for small business stock, to provide incentives for small business high technology research investment, and for other purposes.","[None, Sen. Menendez, Robert [D-NJ]]","Defines ""high technology research small business pass-thru entity"" as any domestic pass-thru entity if: (1) more than 75% of the entity's expenditures are paid or incurred in connection with qualified research, or (2) more than 50% of the entity's expenditures constitute qualified research expenses. Designates a high technology research entity as a small business if such entity has 250 or fewer full-time employees and does not have aggregate gross assets in excess of $150 million. "
7140,A bill to improve the transition between experimental permits and commercial licenses for commercial reusable launch vehicles.,"[Sen. Heinrich, Martin [D-NM], Sen. Rubio, Marco [R-FL], Sen. Udall, Tom [D-NM], Sen. Feinstein, Dianne [D-CA], Sen. Wicker, Roger F. [R-MS], Sen. Cornyn, John [R-TX]]",Authorizes the Secretary of Transportation (DOT) to issue an experimental permit for a particular reusable suborbital rocket (as under current law) or rocket design after a license has been issued for the launch or reentry of a rocket of that design. Declares that any permits already issued shall remain valid for research and development (R&D) and other specified purposes.
7141,Sunscreen Innovation Act,"[Sen. Reed, Jack [D-RI], Sen. Isakson, Johnny [R-GA], Sen. Coons, Christopher A. [D-DE], Sen. Brown, Sherrod [D-OH], Sen. Carper, Thomas R. [D-DE], Sen. Portman, Rob [R-OH], Sen. Ayotte, Kelly [R-NH], Sen. Roberts, Pat [R-KS], Sen. Kirk, Mark Steven [R-IL], Sen. Warren, Elizabeth [D-MA], Sen. McConnell, Mitch [R-KY], Sen. Landrieu, Mary L. [D-LA], Sen. Paul, Rand [R-KY], Sen. Scott, Tim [R-SC], Sen. Schumer, Charles E. [D-NY], Sen. Hagan, Kay [D-NC], Sen. Harkin, Tom [D-IA], Sen. Alexander, Lamar [R-TN], Sen. Burr, Richard [R-NC], Sen. Booker, Cory A. [D-NJ]]",Require the Secretary of Health and Human Services (HHS) to review and determine whether OTC sunscreens are generally recognized as safe and effective and ensure that any sunscreens marketed in the United States are appropriately labeled.
